freq,psd_x,psd_y,psd_z,psd_xyz,zv(112.8),mzv(115.4),ei(138.2),2hump_ei(149.8),3hump_ei(149.8)
172.2,6.473e+02,1.455e+02,2.836e+01,8.212e+02,0.610,0.099,0.074,0.031,0.012
173.7,6.259e+02,1.463e+02,2.772e+01,7.999e+02,0.620,0.096,0.083,0.032,0.012
175.2,6.323e+02,1.503e+02,2.842e+01,8.110e+02,0.630,0.094,0.092,0.032,0.012
176.7,7.265e+02,2.199e+02,3.713e+01,9.835e+02,0.640,0.092,0.102,0.032,0.012
178.1,6.553e+02,1.911e+02,3.110e+01,8.776e+02,0.650,0.089,0.112,0.031,0.013
179.6,7.113e+02,2.693e+02,4.046e+01,1.021e+03,0.659,0.087,0.122,0.030,0.013
181.1,7.380e+02,2.846e+02,4.184e+01,1.064e+03,0.668,0.085,0.132,0.029,0.014
182.6,6.923e+02,2.523e+02,3.747e+01,9.821e+02,0.677,0.084,0.142,0.028,0.014
184.1,6.978e+02,3.403e+02,4.456e+01,1.083e+03,0.685,0.082,0.153,0.027,0.015
185.6,7.297e+02,4.234e+02,4.931e+01,1.202e+03,0.693,0.081,0.164,0.027,0.017
187.1,7.041e+02,4.446e+02,4.926e+01,1.198e+03,0.701,0.081,0.175,0.027,0.019
